10;3,3,2,3,3,3,2,3,2,3,4,3,3,3,3,2,3,2,3,2
50;4,4,4,5,4,4,5,3,5,4,4,5,4,6,4,3,4,4,3,3
100;5,5,4,5,4,4,5,4,6,6,4,5,4,3,4,4,3,6,3,4
150;5,4,4,5,5,5,6,7,4,4,5,4,4,4,3,4,4,4,4,5
300;5,4,4,9,4,6,5,4,4,4,5,5,5,7,5,4,5,5,6,4
500;5,5,5,6,7,5,5,6,6,5,5,5,6,5,5,6,6,6,5,4
750;4,6,5,5,5,6,5,5,4,7,5,6,6,4,5,6,5,5,6,5
1000;5,6,4,5,5,5,6,6,5,5,5,5,6,5,7,6,6,6,6,6
